time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-24 00:00:00+00:00,42,13,0,0
2026-06-25 00:00:00+00:00,26,7,0,0
2026-06-26 00:00:00+00:00,13,4,0,0
2026-06-27 00:00:00+00:00,15,6,0,0
2026-06-28 00:00:00+00:00,19,9,1,1
2026-06-29 00:00:00+00:00,14,5,0,0
2026-06-30 00:00:00+00:00,9,4,0,0
2026-07-01 00:00:00+00:00,3,3,0,0
2026-07-02 00:00:00+00:00,27,9,1,1
2026-07-03 00:00:00+00:00,2,2,0,0
2026-07-04 00:00:00+00:00,14,5,0,0
2026-07-05 00:00:00+00:00,9,4,0,0
2026-07-06 00:00:00+00:00,20,7,1,1
2026-07-07 00:00:00+00:00,2,2,0,0
